#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu Jun 11 23:36:18 2020

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       Microprocessor_map.ncd
#OUTPUT FILE:      Microprocessor_pad.csv
#PART TYPE:        xc3s50an
#SPEED GRADE:      -5
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P96,instruction_address<0>,IOB,IO_L08P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P97,,DIFFMI_NDT,IP_1/VREF_1,UNUSED,,1,,,,,,,,,
P98,instruction_address<1>,IOB,IO_L08N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P99,instruction_address<2>,IOB,IO_L09P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P100,,,GND,,,,,,,,,,,,
P101,instruction_address<3>,IOB,IO_L09N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P102,instruction_address<4>,IOB,IO_L10P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P103,instruction_address<5>,IOB,IO_L11P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P104,instruction_address<6>,IOB,IO_L10N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P105,instruction_address<7>,IOB,IO_L11N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P106,,,GND,,,,,,,,,,,,
P107,,,TDO,,,,,,,,,,,,
P108,,,VCCAUX,,,,,,,,3.3,,,,
P109,,,TCK,,,,,,,,,,,,
P110,,DIFFMTB,IO_L01P_0,UNUSED,,0,,,,,,,,,
P111,,DIFFSTB,IO_L01N_0,UNUSED,,0,,,,,,,,,
P112,,DIFFMTB,IO_L02P_0/VREF_0,UNUSED,,0,,,,,,,,,
P113,,DIFFSTB,IO_L02N_0,UNUSED,,0,,,,,,,,,
P114,,DIFFMTB,IO_L04P_0,UNUSED,,0,,,,,,,,,
P115,,DIFFMTB,IO_L03P_0,UNUSED,,0,,,,,,,,,
P116,,DIFFSTB,IO_L04N_0,UNUSED,,0,,,,,,,,,
P117,,DIFFSTB,IO_L03N_0,UNUSED,,0,,,,,,,,,
P118,,,GND,,,,,,,,,,,,
P119,,,VCCO_0,,,0,,,,,2.50,,,,
P120,instruction<0>,IBUF,IO_L05P_0,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
P121,instruction<1>,IBUF,IO_L05N_0,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
P122,,,VCCINT,,,,,,,,1.2,,,,
P123,,IBUF,IP_0/VREF_0,UNUSED,,0,,,,,,,,,
P124,instruction<2>,IBUF,IO_L06P_0/GCLK4,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
P125,instruction<3>,IBUF,IO_L07P_0/GCLK6,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
P126,instruction<4>,IBUF,IO_L06N_0/GCLK5,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
P127,instruction<5>,IBUF,IO_L07N_0/GCLK7,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
P128,,,GND,,,,,,,,,,,,
P129,instruction<6>,IBUF,IO_L08P_0/GCLK8,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
P130,instruction<7>,IBUF,IO_L09P_0/GCLK10,INPUT,LVCMOS25*,0,,,,IBUF,,LOCATED,NO,NONE,
P131,,DIFFSTB,IO_L08N_0/GCLK9,UNUSED,,0,,,,,,,,,
P132,,DIFFSTB,IO_L09N_0/GCLK11,UNUSED,,0,,,,,,,,,
P133,,,VCCAUX,,,,,,,,3.3,,,,
P134,,DIFFMTB,IO_L10P_0,UNUSED,,0,,,,,,,,,
P135,,DIFFSTB,IO_L10N_0,UNUSED,,0,,,,,,,,,
P136,,,VCCO_0,,,0,,,,,2.50,,,,
P137,,,GND,,,,,,,,,,,,
P138,,DIFFMTB,IO_L11P_0,UNUSED,,0,,,,,,,,,
P139,,DIFFSTB,IO_L11N_0,UNUSED,,0,,,,,,,,,
P140,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
P141,,DIFFMTB,IO_L12P_0/VREF_0,UNUSED,,0,,,,,,,,,
P142,,DIFFSTB,IO_0,UNUSED,,0,,,,,,,,,
P143,,DIFFSTB,IO_L12N_0/PUDC_B,UNUSED,,0,,,,,,,,,
P144,,,PROG_B,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
